ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027:PF00022:PF00021,426,560,266,160,294,1817,0.47,0.82,0.62,0.62,0.44,98,89,337,9,2102,0.91,0.86,0.21,0.21,0.4
PF00002,PF00028:PF00008:PF00027:PF00016:PF00001,145,679,126,19,553,1839,0.19,0.77,0.87,0.87,0.33,145,83,62,62,2330,0.57,0.95,0.57,0.57,0.55
PF00003,PF00010:PF00005:PF00006:PF00016:PF00004,126,1077,112,14,965,1446,0.1,0.61,0.89,0.89,0.21,237,75,51,162,2249,0.32,0.92,0.6,0.6,0.39
PF00004,PF00013:PF00023:PF00027:PF00006:PF00019,636,745,394,242,351,1550,0.53,0.77,0.62,0.62,0.41,150,133,503,17,1884,0.89,0.8,0.21,0.21,0.37
PF00005,PF00003:PF00006:PF00027:PF00004:PF00009,746,912,512,234,400,1391,0.56,0.75,0.69,0.69,0.44,183,170,576,13,1778,0.93,0.77,0.23,0.23,0.39
PF00006,PF00016:PF00010:PF00003:PF00005:PF00022,172,925,135,37,790,1575,0.15,0.67,0.78,0.78,0.24,152,73,99,79,2286,0.48,0.93,0.42,0.42,0.41
PF00007,PF00029:PF00021:PF00019:PF00020:PF00011,26,253,19,7,234,2277,0.08,0.91,0.73,0.73,0.21,27,13,13,14,2497,0.48,0.99,0.5,0.5,0.49
PF00008,PF00008:PF00028:PF00002:PF00023:PF00014,245,630,245,0,385,1907,0.39,0.85,1.0,1.0,0.57,127,121,124,6,2286,0.95,0.95,0.49,0.49,0.67
PF00009,PF00020:PF00013:PF00015:PF00019:PF00012,389,493,217,172,276,1872,0.44,0.82,0.56,0.56,0.39,65,56,333,9,2139,0.86,0.87,0.14,0.14,0.32
PF00010,PF00016:PF00003:PF00006:PF00011:PF00009,336,562,204,132,358,1843,0.36,0.81,0.61,0.61,0.36,80,67,269,13,2188,0.84,0.89,0.2,0.2,0.38
PF00011,PF00010:PF00029:PF00016:PF00013:PF00025,156,617,123,33,494,1887,0.2,0.79,0.79,0.79,0.33,91,57,99,34,2347,0.63,0.95,0.37,0.37,0.45
PF00012,PF00012:PF00016:PF00009:PF00026:PF00020,281,618,281,0,337,1919,0.45,0.87,1.0,1.0,0.62,103,97,184,6,2250,0.94,0.93,0.35,0.35,0.54
PF00013,PF00013:PF00023:PF00009:PF00004:PF00011,289,981,289,0,692,1556,0.29,0.73,1.0,1.0,0.45,255,184,105,71,2177,0.72,0.93,0.64,0.64,0.64
PF00014,PF00029:PF00028:PF00013:PF00008:PF00025,135,577,108,27,469,1933,0.19,0.8,0.8,0.8,0.32,113,64,71,49,2353,0.57,0.95,0.47,0.47,0.49
PF00015,PF00015:PF00009:PF00010:PF00016:PF00007,62,595,62,0,533,1942,0.1,0.79,1.0,1.0,0.29,59,38,24,21,2454,0.64,0.98,0.61,0.61,0.62
PF00016,PF00019:PF00006:PF00010:PF00020:PF00012,41,580,35,6,545,1951,0.06,0.78,0.85,0.85,0.19,93,18,23,75,2421,0.19,0.96,0.44,0.44,0.27
PF00017,PF00017:PF00018:PF00030:PF00013:PF00024,253,625,253,0,372,1912,0.4,0.85,1.0,1.0,0.58,127,118,135,9,2275,0.93,0.94,0.47,0.47,0.64
PF00018,PF00017:PF00023:PF00030:PF00013:PF00004,357,919,286,71,633,1547,0.31,0.72,0.8,0.8,0.37,203,145,212,58,2122,0.71,0.89,0.41,0.41,0.49
PF00019,PF00019:PF00016:PF00020:PF00029:PF00009,84,459,84,0,375,2078,0.18,0.85,1.0,1.0,0.39,35,24,60,11,2442,0.69,0.97,0.29,0.29,0.43
PF00020,PF00020:PF00019:PF00016:PF00029:PF00009,57,459,57,0,402,2078,0.12,0.84,1.0,1.0,0.32,35,31,26,4,2476,0.89,0.99,0.54,0.54,0.69
PF00021,PF00021:PF00007:PF00029:PF00028:PF00011,34,285,34,0,251,2252,0.12,0.9,1.0,1.0,0.33,26,16,18,10,2493,0.62,0.99,0.47,0.47,0.53
PF00022,PF00022:PF00025:PF00006:PF00019:PF00001,269,725,269,0,456,1812,0.37,0.82,1.0,1.0,0.54,130,111,158,19,2249,0.85,0.93,0.41,0.41,0.56
PF00023,PF00013:PF00018:PF00008:PF00004:PF00028,432,917,335,97,582,1523,0.37,0.73,0.78,0.78,0.39,207,156,276,51,2054,0.75,0.87,0.36,0.36,0.46
PF00024,PF00030:PF00017:PF00016:PF00026:PF00010,140,587,103,37,484,1913,0.18,0.79,0.74,0.74,0.29,88,54,86,34,2363,0.61,0.95,0.39,0.39,0.46
PF00025,PF00022:PF00028:PF00011:PF00014:PF00029,273,459,158,115,301,1963,0.34,0.84,0.58,0.58,0.36,79,66,207,13,2251,0.84,0.91,0.24,0.24,0.42
PF00026,PF00012:PF00011:PF00027:PF00024:PF00013,235,654,175,60,479,1823,0.27,0.79,0.74,0.74,0.36,143,106,129,37,2265,0.74,0.93,0.45,0.45,0.55
PF00027,PF00005:PF00004:PF00002:PF00008:PF00026,320,1070,272,48,798,1419,0.25,0.67,0.85,0.85,0.33,253,151,169,102,2115,0.6,0.89,0.47,0.47,0.47
PF00028,PF00028:PF00008:PF00002:PF00025:PF00021,161,496,161,0,335,2041,0.32,0.87,1.0,1.0,0.53,103,84,77,19,2357,0.82,0.96,0.52,0.52,0.63
PF00029,PF00007:PF00019:PF00020:PF00021:PF00014,30,222,25,5,197,2310,0.11,0.92,0.83,0.83,0.29,27,14,16,13,2494,0.52,0.99,0.47,0.47,0.49
PF00030,PF00017:PF00024:PF00029:PF00018:PF00020,50,507,37,13,470,2017,0.07,0.81,0.74,0.74,0.19,79,19,31,60,2427,0.24,0.96,0.38,0.38,0.28
